item,order_date_p50,order_date_p90,arrival_date,stockout_date,pred_lead_at_stockout,init_inventory,safety_stock
N'PRIZ AH8,2025-08-31,2025-08-31,2025-09-06,2025-09-07,6,638,319
Kinergy EX,2025-09-03,2025-09-02,2025-09-09,2025-09-09,6,647,323
Optimo H426,2025-08-31,2025-08-27,2025-09-08,2025-09-07,8,657,328
Krugen HP71,2025-08-31,2025-08-30,2025-09-10,2025-09-09,9,612,306
i.Q Series,2025-08-31,2025-08-27,2025-09-13,2025-09-09,11,618,309
N'Blue HD Plus,2025-09-02,2025-08-31,2025-09-08,2025-09-08,6,737,368
N'fera AU5,2025-08-31,2025-08-27,2025-09-10,2025-09-06,7,607,303
Majesty9 Solus,2025-08-31,2025-08-27,2025-09-10,2025-09-08,10,661,330
Ventus Prime4,2025-09-02,2025-08-31,2025-09-07,2025-09-07,5,694,347
Ventus Air S,2025-09-02,2025-08-31,2025-09-08,2025-09-09,7,690,345
Solus TA31,2025-09-02,2025-08-31,2025-09-10,2025-09-10,8,629,314
